DAY,ENVIRONMENT,CONTRACT_ADDRESS,INTERACTIONS
2024-07-24 00:00:00.000,EVM,0x7ca6a9960d26b1a225233ef74f982a2d3da26332,33395
2024-06-12 00:00:00.000,EVM,0xa4cf2f53d1195addde9e4d3aca54f556895712f2,13339
2024-05-29 00:00:00.000,EVM,0x79828044c306dd3ae60db03cb56309883f74100b,10244
2024-07-24 00:00:00.000,EVM,0x2880ab155794e7179c9ee2e38200202908c17b43,8626
2024-07-10 00:00:00.000,EVM,0x2880ab155794e7179c9ee2e38200202908c17b43,8623
2024-06-26 00:00:00.000,EVM,0x2880ab155794e7179c9ee2e38200202908c17b43,8619
2024-06-12 00:00:00.000,EVM,0x2880ab155794e7179c9ee2e38200202908c17b43,7877
2024-07-24 00:00:00.000,EVM,0xc56eb3d03c5d7720daf33a3718affb9bcab03fbc,7531
2024-07-10 00:00:00.000,EVM,0xa4cf2f53d1195addde9e4d3aca54f556895712f2,5506
2024-07-24 00:00:00.000,EVM,0xdd489c75be1039ec7d843a6ac2fd658350b067cf,4080
2024-07-10 00:00:00.000,EVM,0xc56eb3d03c5d7720daf33a3718affb9bcab03fbc,3518
2024-06-12 00:00:00.000,EVM,0xb75d0b03c06a926e488e2659df1a861f860bd3d1,3091
2024-07-24 00:00:00.000,EVM,0xa4cf2f53d1195addde9e4d3aca54f556895712f2,3056
2024-06-12 00:00:00.000,EVM,0x3894085ef7ff0f0aedf52e2a2704928d1ec074f1,2607
2024-07-10 00:00:00.000,EVM,0x581a5e0ba509781bb99f13e96295ab90756a7efb,2483
2024-07-24 00:00:00.000,EVM,0x9f3b1c6b0cddfe7adadd7aadf72273b38eff0ebc,1964
2024-07-10 00:00:00.000,EVM,0xdd489c75be1039ec7d843a6ac2fd658350b067cf,1961
2024-07-24 00:00:00.000,EVM,0x581a5e0ba509781bb99f13e96295ab90756a7efb,1958
2024-07-24 00:00:00.000,EVM,0x0000000000035bd5849b8cb31eaa5b39630e6b72,1877
2024-06-12 00:00:00.000,EVM,0x3c2269811836af69497e5f486a85d7316753cf62,1599
2024-07-24 00:00:00.000,EVM,0xcfd267484189af3d48b17570e210229cd7664d8c,1576
2024-05-29 00:00:00.000,EVM,0x3c2269811836af69497e5f486a85d7316753cf62,1496
2024-06-26 00:00:00.000,EVM,0x0000000000000000000000000000000000001002,1432
2024-07-24 00:00:00.000,EVM,0x79a0bf8a865398b2247609c88a53cd839a49b0a4,1415
2024-07-10 00:00:00.000,EVM,0x3c2269811836af69497e5f486a85d7316753cf62,1391
